Rk,Player,Nation,Pos,Squad,Comp,Age,Born,MP,Starts,Min,90s,Goals,Shots,SoT,SoT%,G/Sh,G/SoT,ShoDist,ShoFK,ShoPK,PKatt,PasTotCmp,PasTotAtt,PasTotCmp%,PasTotDist,PasTotPrgDist,PasShoCmp,PasShoAtt,PasShoCmp%,PasMedCmp,PasMedAtt,PasMedCmp%,PasLonCmp,PasLonAtt,PasLonCmp%,Assists,PasAss,Pas3rd,PPA,CrsPA,PasProg,PasAtt,PasLive,PasDead,PasFK,TB,Sw,PasCrs,TI,CK,CkIn,CkOut,CkStr,PasCmp,PasOff,PasBlocks,SCA,ScaPassLive,ScaPassDead,ScaDrib,ScaSh,ScaFld,ScaDef,GCA,GcaPassLive,GcaPassDead,GcaDrib,GcaSh,GcaFld,GcaDef,Tkl,TklWon,TklDef3rd,TklMid3rd,TklAtt3rd,TklDri,TklDriAtt,TklDri%,TklDriPast,Blocks,BlkSh,BlkPass,Int,Tkl+Int,Clr,Err,Touches,TouDefPen,TouDef3rd,TouMid3rd,TouAtt3rd,TouAttPen,TouLive,ToAtt,ToSuc,ToSuc%,ToTkl,ToTkl%,Carries,CarTotDist,CarPrgDist,CarProg,Car3rd,CPA,CarMis,CarDis,Rec,RecProg,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,TklW,PKwon,PKcon,OG,Recov,AerWon,AerLost,AerWon%,fifa_matched_club,fifa_player_match_long,fifa_player_match_score_long,fifa_player_match_short,fifa_player_match_score_short,Best_Match,Best_Match_Column,player_id,short_name,long_name,player_positions,age,height_cm,weight_kg,league_name,club_name,club_jersey_number,nationality_name,preferred_foot,player_face_url,pace
1,Brenden Aaronson,USA,MFFW,Leeds United,Premier League,22,2000,20,19,1596,17.7,1,27.0,5.0,18.5,0.71,3.55,19.0,0.11,0.0,0.0,23.2,31.0,74.9,293.0,85.7,13.3,16.2,81.9,5.93,7.74,76.6,0.9,2.37,38.1,2.0,1.75,1.75,0.45,0.11,3.22,31.0,28.1,2.88,0.96,0.17,0.0,2.54,0.23,1.47,0.68,0.62,0.06,23.2,0.0,0.85,3.62,2.37,0.56,0.23,0.11,0.28,0.06,0.28,0.17,0.0,0.0,0.06,0.0,0.06,1.64,0.51,0.45,0.9,0.28,0.51,1.47,34.6,0.96,1.69,0.11,1.58,0.06,1.69,0.28,0.06,44.0,0.4,4.35,19.0,21.5,2.49,44.0,3.73,1.19,31.8,1.75,47.0,26.7,136.1,56.6,1.53,1.07,0.4,2.6,3.11,30.2,5.65,0.11,0.0,0.0,0.62,2.26,0.17,2.54,0.51,0.0,0.0,0.0,4.86,0.34,1.19,22.2,Leeds United,Brenden Russell Aaronson,86,B. Aaronson,85,Brenden Russell Aaronson,long_name,247361.0,B. Aaronson,Brenden Russell Aaronson,"CM, RW, CM",21.0,177.0,66.0,Premier League,Leeds United,7.0,United States,Right,https://cdn.sofifa.net/players/247/361/23_120.png,81.0
2,Yunis Abdelhamid,MAR,DF,Reims,Ligue 1,35,1987,22,22,1980,22.0,0,19.0,1.0,5.3,0.0,0.0,13.5,0.0,0.0,0.0,38.5,47.2,81.5,751.5,318.5,10.9,12.9,84.5,23.2,25.7,90.1,3.77,7.0,53.9,1.0,0.27,2.91,0.09,0.0,4.5,47.2,43.3,3.73,3.32,0.0,0.55,0.18,0.09,0.0,0.0,0.0,0.0,38.5,0.23,0.59,1.14,0.86,0.0,0.0,0.18,0.0,0.09,0.18,0.14,0.0,0.0,0.05,0.0,0.0,2.5,1.59,1.45,1.0,0.05,1.32,1.68,78.4,0.36,2.23,0.77,1.45,2.0,4.5,2.91,0.05,59.2,6.23,27.5,29.5,2.73,1.09,59.2,0.68,0.32,46.7,0.36,53.3,40.0,234.2,125.0,0.55,0.23,0.09,0.73,0.68,34.5,0.23,0.09,0.0,0.0,1.32,0.5,0.05,0.18,1.59,0.0,0.0,0.0,6.64,2.18,1.23,64.0,Reims,Yunis Abdelhamid,100,Y. Abdelhamid,86,Yunis Abdelhamid,long_name,206493.0,Y. Abdelhamid,Yunis Abdelhamid,CB,34.0,190.0,83.0,Ligue 1,Reims,5.0,Morocco,Left,https://cdn.sofifa.net/players/206/493/23_120.png,32.0
4,Salis Abdul Samed,GHA,MF,Lens,Ligue 1,22,2000,20,20,1799,20.0,1,12.0,3.0,25.0,1.6,6.6,20.3,0.0,0.0,0.0,59.5,64.9,91.6,946.3,226.9,29.6,31.8,93.2,24.7,26.2,94.3,3.35,4.3,77.9,0.0,0.5,6.0,0.55,0.1,5.6,64.9,63.1,1.4,1.3,0.05,0.2,0.35,0.1,0.0,0.0,0.0,0.0,59.5,0.35,0.4,1.6,1.35,0.0,0.1,0.1,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5,0.8,0.55,0.85,0.1,0.85,1.3,65.4,0.45,1.3,0.35,0.95,1.1,2.6,0.8,0.0,73.3,2.1,12.0,49.6,12.2,0.7,73.3,1.25,0.7,56.0,0.4,32.0,61.0,316.9,117.5,1.25,1.95,0.15,1.35,1.3,56.5,1.7,0.15,0.0,0.0,2.45,1.35,0.0,0.35,0.8,0.0,0.0,0.05,6.6,0.5,0.5,50.0,Lens,Salis Abdul Samed,100,S. Abdul Samed,87,Salis Abdul Samed,long_name,252059.0,S. Abdul Samed,Salis Abdul Samed,"CM, CM",22.0,180.0,61.0,Ligue 1,Lens,26.0,Ghana,Right,https://cdn.sofifa.net/players/252/059/23_120.png,50.0
5,Laurent Abergel,FRA,MF,Lorient,Ligue 1,30,1993,15,15,1165,12.9,0,4.0,0.0,0.0,0.0,0.0,23.9,0.0,0.0,0.0,37.9,43.4,87.3,613.6,224.7,17.9,19.4,92.4,15.7,17.8,88.6,2.64,3.95,66.7,1.0,0.62,3.88,0.39,0.0,5.04,43.4,42.6,0.78,0.78,0.39,0.16,0.23,0.0,0.0,0.0,0.0,0.0,37.9,0.08,0.31,1.24,1.01,0.08,0.0,0.08,0.0,0.08,0.08,0.08,0.0,0.0,0.0,0.0,0.0,3.8,2.02,2.64,1.16,0.0,1.32,3.26,40.5,1.94,1.4,0.23,1.16,1.16,4.96,1.55,0.0,54.7,3.26,19.2,31.4,4.88,0.23,54.7,0.93,0.54,58.3,0.31,33.3,41.0,174.3,72.7,0.47,0.93,0.0,1.32,0.78,36.4,0.47,0.16,0.0,0.0,0.93,1.01,0.0,0.23,2.02,0.0,0.0,0.0,6.51,0.31,0.39,44.4,Lorient,Laurent Abergel,100,L. Abergel,86,Laurent Abergel,long_name,213367.0,L. Abergel,Laurent Abergel,"CM, CM",29.0,170.0,65.0,Ligue 1,Lorient,6.0,France,Right,https://cdn.sofifa.net/players/213/367/23_120.png,69.0
7,Matthis Abline,FRA,FWMF,Auxerre,Ligue 1,19,2003,5,2,185,2.1,1,9.0,3.0,33.3,0.23,0.68,20.4,0.0,0.0,0.0,7.14,10.0,71.4,139.5,40.0,1.43,2.38,60.0,4.76,5.24,90.9,0.48,0.95,50.0,0.0,0.0,0.48,1.43,0.48,1.9,10.0,9.05,0.95,0.0,0.0,0.0,0.95,0.0,0.0,0.0,0.0,0.0,7.14,0.0,0.48,0.48,0.48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.43,0.48,0.0,0.95,0.48,0.0,0.95,0.0,0.95,0.48,0.0,0.48,0.48,1.9,0.48,0.0,25.7,0.48,1.43,11.4,12.9,6.67,25.7,1.43,0.48,33.3,0.95,66.7,17.1,97.1,10.5,1.43,0.0,0.95,7.62,3.33,19.0,6.67,0.0,0.0,0.0,0.95,1.43,0.48,0.95,0.48,0.0,0.0,0.0,0.48,1.43,1.43,50.0,Auxerre,Matthis Abline,100,M. Abline,86,Matthis Abline,long_name,264422.0,M. Abline,Matthis Abline,ST,19.0,182.0,81.0,Ligue 1,Auxerre,19.0,France,Right,https://cdn.sofifa.net/players/264/422/23_120.png,77.0
10,Zakaria Aboukhlal,MAR,FWMF,Toulouse,Ligue 1,22,2000,22,17,1507,16.7,5,46.0,17.0,37.0,1.84,4.86,18.1,0.0,0.0,0.0,17.6,25.3,69.7,219.5,49.6,11.7,14.9,79.0,4.43,6.17,71.8,0.24,0.84,28.6,4.0,0.54,0.78,0.42,0.06,1.8,25.3,24.3,0.84,0.06,0.06,0.0,0.96,0.78,0.0,0.0,0.0,0.0,17.6,0.18,1.56,2.34,1.32,0.0,0.18,0.36,0.42,0.06,0.24,0.12,0.0,0.06,0.0,0.06,0.0,1.14,0.72,0.54,0.3,0.3,0.3,1.32,22.7,1.02,0.54,0.06,0.48,0.84,1.98,0.66,0.0,38.0,0.96,5.45,14.6,18.7,4.97,38.0,3.17,1.02,32.1,1.86,58.5,28.6,177.7,74.7,3.05,1.08,1.14,2.57,0.96,27.1,9.52,0.18,0.0,0.0,1.56,1.8,0.72,0.96,0.72,0.0,0.0,0.0,4.43,0.42,1.32,24.1,Toulouse,Zakaria Aboukhlal,100,Z. Aboukhlal,86,Zakaria Aboukhlal,long_name,248564.0,Z. Aboukhlal,Zakaria Aboukhlal,"RW, LW",22.0,179.0,73.0,Ligue 1,Toulouse,6.0,Morocco,Left,https://cdn.sofifa.net/players/248/564/23_120.png,86.0
11,Tammy Abraham,ENG,FW,Roma,Serie A,25,1997,22,18,1582,17.6,6,47.0,22.0,46.8,2.29,4.75,11.6,0.0,0.0,0.0,13.7,20.1,68.6,194.8,49.3,8.13,10.4,78.1,4.03,6.42,62.8,0.91,1.31,69.6,3.0,1.42,0.63,0.63,0.06,2.1,20.1,18.4,1.48,0.06,0.11,0.06,0.28,0.06,0.0,0.0,0.0,0.0,13.7,0.17,0.28,3.07,1.99,0.0,0.23,0.57,0.28,0.0,0.51,0.23,0.0,0.06,0.17,0.06,0.0,0.74,0.4,0.17,0.34,0.23,0.23,0.68,33.3,0.45,0.51,0.23,0.28,0.17,0.91,0.45,0.0,31.6,0.74,2.1,16.5,13.5,4.83,31.6,3.01,0.8,26.4,1.7,56.6,16.8,89.8,35.9,1.42,0.97,0.63,2.33,1.31,24.5,5.0,0.06,0.0,0.0,1.31,2.05,0.51,0.28,0.4,0.06,0.0,0.0,1.87,2.56,2.39,51.7,Roma,Tammy Bakumo-Abraham,86,T. Abraham,84,Tammy Bakumo-Abraham,long_name,231352.0,T. Abraham,Tammy Bakumo-Abraham,ST,24.0,195.0,86.0,Serie A,Roma,9.0,England,Right,https://cdn.sofifa.net/players/231/352/23_120.png,83.0
12,Francesco Acerbi,ITA,DF,Inter,Serie A,35,1988,14,12,1110,12.3,0,6.0,0.0,0.0,0.0,0.0,17.8,0.0,0.0,0.0,51.7,58.9,87.7,975.9,312.0,18.9,20.5,92.1,25.8,28.6,90.1,6.02,8.13,74.0,1.0,0.49,3.09,0.24,0.0,3.58,58.9,55.7,3.17,2.11,0.0,0.73,0.24,0.57,0.0,0.0,0.0,0.0,51.7,0.08,0.16,0.98,0.81,0.08,0.0,0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3,0.57,1.14,0.16,0.0,0.81,0.98,83.3,0.16,0.57,0.33,0.24,0.98,2.28,3.33,0.0,67.2,8.21,30.4,34.4,2.85,0.49,67.2,0.16,0.0,0.0,0.08,50.0,36.7,184.3,96.6,1.06,0.89,0.08,0.57,0.24,44.2,0.24,0.24,0.0,0.0,0.73,0.73,0.08,0.24,0.57,0.0,0.0,0.0,4.96,2.76,1.63,63.0,Inter,Francesco Acerbi,100,F. Acerbi,86,Francesco Acerbi,long_name,199845.0,F. Acerbi,Francesco Acerbi,CB,34.0,192.0,88.0,Serie A,Inter,15.0,Italy,Left,https://cdn.sofifa.net/players/199/845/23_120.png,62.0
13,Mohamed Achi,FRA,FW,Nantes,Ligue 1,21,2002,2,0,36,0.4,0,1.0,0.0,0.0,0.0,0.0,26.1,0.0,0.0,0.0,45.0,52.5,85.7,685.0,190.0,17.5,17.5,100.0,25.0,30.0,83.3,0.0,2.5,0.0,0.0,2.5,2.5,0.0,0.0,7.5,52.5,50.0,2.5,0.0,0.0,0.0,2.5,0.0,2.5,0.0,2.5,0.0,45.0,0.0,0.0,2.5,2.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5,2.5,2.5,0.0,0.0,2.5,2.5,100.0,0.0,0.0,0.0,0.0,0.0,2.5,0.0,0.0,62.5,0.0,10.0,27.5,25.0,0.0,62.5,2.5,0.0,0.0,2.5,100.0,52.5,335.0,187.5,5.0,5.0,0.0,0.0,2.5,47.5,2.5,0.0,0.0,0.0,5.0,0.0,0.0,2.5,2.5,0.0,0.0,0.0,5.0,0.0,0.0,0.0,Nantes,Mohamed Achi,100,M. Achi,86,Mohamed Achi,long_name,270352.0,M. Achi,Mohamed Achi,CM,20.0,181.0,72.0,Ligue 1,Nantes,19.0,France,Left,https://cdn.sofifa.net/players/270/352/23_120.png,65.0
14,Marcos Acuña,ARG,DF,Sevilla,La Liga,31,1991,16,12,985,10.9,2,16.0,4.0,25.0,1.42,5.47,26.5,0.09,0.0,0.0,46.5,62.9,73.9,874.2,327.3,22.1,24.8,89.3,17.2,22.4,77.0,6.42,13.3,48.3,1.0,1.93,2.39,2.2,1.1,4.77,62.9,50.3,12.6,2.57,0.28,0.92,7.61,8.07,1.93,0.46,1.1,0.0,46.5,0.09,0.73,3.03,2.11,0.64,0.0,0.28,0.0,0.0,0.18,0.18,0.0,0.0,0.0,0.0,0.0,3.3,1.74,1.93,1.01,0.37,1.83,2.57,71.4,0.73,1.01,0.46,0.55,1.47,4.77,1.28,0.0,74.4,3.49,20.1,32.1,22.9,1.65,74.4,2.11,0.64,30.4,1.1,52.2,40.4,189.2,98.4,2.02,1.56,0.28,1.56,1.38,43.9,4.68,0.46,0.09,0.0,1.65,1.65,0.09,7.61,1.74,0.0,0.09,0.0,7.52,1.19,0.92,56.5,Sevilla,Marcos Javier Acuña,86,Marcão,90,Marcão,short_name,234426.0,Marcão,Marcos do Nascimento Teixeira,CB,26.0,185.0,81.0,La Liga,Sevilla,23.0,Brazil,Left,https://cdn.sofifa.net/players/234/426/23_120.png,67.0
